business_name	category	city	area	latitude	longitude	rating
Metro Store	Electronics	Nagpur	Dharampeth	20.525638	74.528825	3.2
Retail King	Furniture	Aurangabad	CIDCO	20.358145	75.724962	4.2
Urban Market	Restaurant	Aurangabad	Osmanpura	20.509178	75.042195	3.5
Prime Outlet	Medical	Pune	Hadapsar	21.287055	79.082273	3
City Electronics	Electronics	Aurangabad	CIDCO	20.112903	76.288251	3.3
Tech World	Fashion	Mumbai	Powai	19.354962	75.8482	4.1
City Electronics	Grocery	Mumbai	Andheri	20.50359	76.604915	4.9
Metro Store	Restaurant	Nagpur	Dharampeth	21.169138	77.825708	3.3
City Electronics	Fashion	Mumbai	Powai	19.110792	77.122547	3.5
Prime Outlet	Electronics	Nashik	Gangapur	20.402853	78.390763	3.1
Metro Store	Grocery	Mumbai	Powai	18.984746	75.871931	4.4
Vision Mart	Electronics	Aurangabad	CIDCO	21.335153	77.491628	3.3
Urban Market	Furniture	Nagpur	Sitabuldi	19.78936	73.271888	3.7
Urban Market	Fashion	Nagpur	Sitabuldi	20.5008	75.298911	4.1
City Electronics	Grocery	Nashik	College Road	21.277291	74.538793	3.3
Digital Hub	Electronics	Pune	Shivajinagar	20.709693	75.159206	4.9
Retail King	Restaurant	Amravati	Camp	20.862124	73.702622	4.7
Retail King	Fashion	Nashik	Satpur	19.548975	78.333486	4.7
Vision Mart	Grocery	Pune	Shivajinagar	19.695398	74.81092	3.1
Urban Market	Grocery	Mumbai	Dadar	20.538554	78.483798	3.7
